KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
acttitleMedical5h,Locate the missing Biochemist.,,,,,,,,,,找到失踪的生物化学家。,,,,,,
actdescMedical5h,The Chief Biochemist has the code to the Research Locker. Find a trace of him and get the code.,,,,,,,,,,首席生物化学家有研究储物柜的密码。找到他的踪迹并获取密码。,,,,,,
tasktitleMedical5i,Broken Quarantine: Research Locker,,,,,,,,,,破碎隔离：研究储物柜,,,,,,
acttitleMedical5i,Locate the Research Locker,,,,,,,,,,找到研究储物柜,,,,,,
actdescMedical5i,The Research Locker on the lower level has the Research you need to take back to the Quarantine Base.,,,,,,,,,,下层的研究储物柜里有你需要带回隔离基地的研究数据。,,,,,,
tasktitleMedical5j,Broken Quarantine: Medical Research,,,,,,,,,,破碎隔离：医疗研究,,,,,,
acttitleMedical5j,Retrieve the Medical Research from the Locker. (Code 3429),,,,,,,,,,从储物柜中取回医疗研究数据。（密码 3429）,,,,,,
actdescMedical5j,Take the Science Equipment from the Research Locker. (Don't forget the code: 3429),,,,,,,,,,从研究储物柜中取出科学设备。（别忘了密码：3429）,,,,,,
tasktitleMedical5k,Broken Quarantine: Research Team (Pt 2),,,,,,,,,,破碎隔离：研究团队（第二部分）,,,,,,
acttitleMedical5k,Return to the Research Lead,,,,,,,,,,返回研究负责人,,,,,,
actdescMedical5k,Return to the Research Lead to let her know you got the research.,,,,,,,,,,返回研究负责人，让她知道你获得了研究数据。,,,,,,
tasktitleMedical5l,Broken Quarantine: A Way Out,,,,,,,,,,破碎隔离：出路,,,,,,
acttitleMedical5l,Find a way out and return to Quarantine Base Alpha,,,,,,,,,,找到出路并返回隔离基地阿尔法,,,,,,
actdescMedical5l,Find your way out of the mysterious structure and return to Quarantine Base Alpha with the Medical Research.,,,,,,,,,,找到离开神秘结构的路，带着医疗研究返回隔离基地阿尔法。,,,,,,
tasktitleMedical5m,Broken Quarantine: Conclusion,,,,,,,,,,破碎隔离：结局,,,,,,
acttitleMedical5m,Report to the Security Chief,,,,,,,,,,向安全酋长报告,,,,,,
actdescMedical5m,Give the Medical Research to the Security Chief of Quarantine Base Alpha,,,,,,,,,,将医疗研究交给隔离基地阿尔法的安全酋长,,,,,,
chptitleMedical6,Rank 6,,,,,,,,,,等级 6,,,,,,
chpdescMedical6,Set up a medical garden to grow plants to help you with crafting basic medicines.,,,,,,,,,,设置一个医疗花园来种植植物，帮助你制作基本药物。,,,,,,
tasktitleMedical6,Setting up a Garden,,,,,,,,,,设置一个花园,,,,,,
acttitleMedical6c,Place Growing Plots,,,,,,,,,,放置种植槽,,,,,,
actdescMedical6c,Place Grow Plots to plant Medical Plants in.,,,,,,,,,,放置种植槽来种植医疗植物。,,,,,,
acttitleMedical6d,Place Grow Lights,,,,,,,,,,放置生长灯,,,,,,
actdescMedical6d,Place Grow Lights to help your plants grow.,,,,,,,,,,放置生长灯以帮助植物生长。,,,,,,
tasktitleMedical6b,Growing Medical Plants,,,,,,,,,,种植医疗植物,,,,,,
acttitleMedical6e,Place Aloe Vera Sprout,,,,,,,,,,放置芦荟芽,,,,,,
actdescMedical6e,"Herbal Plants, like Aloe Very, can be used to make a variety of medicines.",,,,,,,,,,草药植物（如芦荟）可用于制作多种药物。,,,,,,
acttitleMedical6f,Place Fiber Plant Sprout,,,,,,,,,,放置纤维植物芽,,,,,,
actdescMedical6f,"Plant Fibers can be used to make Bandages, the most basic medical item.",,,,,,,,,,植物纤维可用于制作绷带，这是最基本的医疗物品。,,,,,,
acttitleMedical6g,Place Ahax Plant Sprout,,,,,,,,,,放置阿哈克斯植物芽,,,,,,
actdescMedical6g,"Plant Protein, like Ahex, can be used in numerous medicinal products.",,,,,,,,,,植物蛋白（如阿赫克斯）可用于众多医药产品。,,,,,,
acttitleMedical6h,Place Mushroom Sprout,,,,,,,,,,放置蘑菇芽,,,,,,
actdescMedical6h,Mushrooms are used in most anti-radiation products.,,,,,,,,,,蘑菇用于大多数抗辐射产品。,,,,,,
acttitleMedical6i,Place Spice Sprout,,,,,,,,,,放置香料芽,,,,,,
actdescMedical6i,Spice is a key ingrediant in Stomach Pills,,,,,,,,,,香料是胃药的关键成分。,,,,,,
acttitleMedical6j,Place Kavae or Coffee Sprout,,,,,,,,,,放置卡瓦或咖啡芽,,,,,,
actdescMedical6j,Natural Stimulnats are key ingredients for stamina and immunity-boosting medicines.,,,,,,,,,,天然刺激素是制作耐力和免疫增强药的关键成分。,,,,,,
chptitleMedical7,Rank 7,,,,,,,,,,等级7,,,,,,
chpdescMedical7,Craft a bunch of Medikits,,,,,,,,,,制作一堆医疗包,,,,,,
tasktitleMedical7,Medikits for Days (and Days and Days),,,,,,,,,,医疗包多到用不完（日复一日）,,,,,,
acttitleMedical7a,First Aid Kits,,,,,,,,,,急救包,,,,,,
actdescMedical7a,Craft 25 First Aid Kits,,,,,,,,,,制作25个急救包,,,,,,
acttitleMedical7b,Detox Kits,,,,,,,,,,解毒医疗包,,,,,,
actdescMedical7b,Craft 25 Detox Kits,,,,,,,,,,制作25个解毒医疗包,,,,,,
acttitleMedical7c,Decontamination Kits,,,,,,,,,,净化套件,,,,,,
actdescMedical7c,Craft 25 Decontamination Kits,,,,,,,,,,制作25个净化套件,,,,,,
acttitleMedical7d,Large Health Packs,,,,,,,,,,大型医疗包,,,,,,
actdescMedical7d,Craft 100 Large Health Packs,,,,,,,,,,制作100个大型医疗包,,,,,,
chptitleExploration1,Rank 1,,,,,,,,,,等级1,,,,,,
chpdescExploration1,Craft a Motorbike and find an interesting POI.,,,,,,,,,,制作一辆摩托并找到一个有趣的兴趣点。,,,,,,
tasktitleExploration1a,Craft a Hover bike,,,,,,,,,,制作一辆悬浮摩托,,,,,,
acttitleExploration1a,Craft a Hover bike,,,,,,,,,,制作一辆悬浮摩托,,,,,,
actdescExploration1a,Craft a Hover bike to use to explore nearby locations.,,,,,,,,,,制作一辆悬浮摩托用于探索附近地点。,,,,,,
acttitleExploration1b,Locate an Interesting POI On this planet.,,,,,,,,,,在这个星球上找到一个有趣的兴趣点。,,,,,,
actdescExploration1b,Use your Hover bike to locate an Interesting POI. NOTE: POIs that are part of a mission are often represented by a Chevron instead of the typical POI indicator on the map. You will need to be close to it (<50m),,,,,,,,,,使用你的悬浮摩托找到一个有趣的兴趣点。注意：作为任务一部分的兴趣点通常在地图上显示为V形图标，而不是典型的兴趣点指示器。你需要靠近它（<50米）,,,,,,
chptitleExploration2,Rank 2,,,,,,,,,,等级2,,,,,,
chpdescExploration2,Construct a Scout Vessel using a Graviton Thrust Drive.,,,,,,,,,,使用引力子推进驱动器建造一艘侦察飞船。,,,,,,
chptitleExploration3,Rank 3,,,,,,,,,,等级3,,,,,,
chpdescExploration3,Locate the Rados Drone Base.,,,,,,,,,,找到拉多斯无人机基地。,,,,,,
tasktitleExploration3b,Rados Drone Base,,,,,,,,,,拉多斯无人机基地,,,,,,
acttitleExploration3b,Locate the Zirax Drone Base on this planet.,,,,,,,,,,在这个星球上找到兹瑞克斯无人机基地。,,,,,,
actdescExploration3b,Use your Small Vessel to find the House Rados Drone Base in order to take it out later. (Fly as close as you dare!),,,,,,,,,,使用你的小型飞船找到拉多斯无人机基地，以便稍后将其摧毁。（尽可能靠近飞行！）,,,,,,
chptitleExploration4,Rank 4,,,,,,,,,,等级4,,,,,,
chpdescExploration4,Locate a Derelict Orbital Station.,,,,,,,,,,找一个废弃的空间站。,,,,,,
tasktitleExploration4,Derelict Orbital Station,,,,,,,,,,废弃空间站,,,,,,
acttitleExploration4,Locate a Derelict Orbital Station,,,,,,,,,,找到一个废弃的空间站,,,,,,
actdescExploration4,Find a Derelict Orbital Station to turn into a base.,,,,,,,,,,找一个废弃的空间站改造成基地。,,,,,,
chptitleExploration5,Rank 6,,,,,,,,,,等级6,,,,,,
chpdescExploration5,"Scan the three Alien Obelisks on the planets Krin, Zasha, and Exana.",,,,,,,,,,扫描克林、扎莎和埃克萨纳星球上的三座外星方尖碑。,,,,,,
tasktitleExploration5a,Mysterious Signals (Part 1),,,,,,,,,,神秘信号（第一部分）,,,,,,
acttitleExploration5a1,Scan Krin Orntell Obelisk,,,,,,,,,,扫描克林·奥恩特尔方尖碑,,,,,,
actdescExploration5a1,Locate the Obelisk on Krin Orntell,,,,,,,,,,在克林·奥恩特尔上找到方尖碑,,,,,,
acttitleExploration5a2,Scan Zasha Orntell Obelisk,,,,,,,,,,扫描扎莎·奥恩特尔方尖碑,,,,,,
actdescExploration5a2,Locate the Obelisk on Zasha Orntell,,,,,,,,,,在扎莎·奥恩特尔上找到方尖碑,,,,,,
acttitleExploration5a3,Scan Exana Orntell Obelisk,,,,,,,,,,扫描埃克萨纳·奥恩特尔方尖碑,,,,,,
actdescExploration5a3,Locate the Obelisk on the Temperate Moon of Exana Orntell,,,,,,,,,,在埃克萨纳·奥恩特尔温带卫星上找到方尖碑,,,,,,
tasktitleExploration5b,Mysterious Signals (Part 2),,,,,,,,,,神秘信号（第二部分）,,,,,,
acttitleExploration5b,Vextar Orntell,,,,,,,,,,维克斯塔·奥恩特尔,,,,,,
actdescExploration5b,Enter Obit of Vextar Orntell,,,,,,,,,,进入维克斯塔·奥恩特尔轨道,,,,,,
chptitleExploration6,Rank 5 - Rados Com Center,,,,,,,,,,等级5 - 拉多斯通讯中心,,,,,,
chptitleExploration7,Rank 7,,,,,,,,,,等级7,,,,,,
tasktitleExploration7,Mysterious Ziggurat,,,,,,,,,,神秘金字塔,,,,,,
acttitleExploration7,Alien Ziggurat,,,,,,,,,,外星金字塔,,,,,,
actdescExploration7,Locate the Alien Ziggurat on the Cursed Planet.,,,,,,,,,,在被诅咒的星球上找到外星金字塔。,,,,,,
pda_me4q8,You completed the [c][04ff00]Personal Defense[-][/c] portion of Basic Training and received a [c][04ff00]Personal Weapon [-][/c]and some [c][04ff00]Ammunition[-][/c].,,,,,,,,,,你完成了基础训练中的[c][04ff00]个人防御[-][/c]部分，并收到了一把[c][04ff00]个人武器[-][/c]和一些[c][04ff00]弹药[-][/c]。,,,,,,
pda_WCSqG,"Nicely done. While anybody can craft [c][006eff]Bandages[-][/c], [c][006eff]Antibiotic Ointment[-][/c], and [c][006eff]AntiToxic Ointments[-][/c], only those who take the [c][006eff]Medical [-][/c]specialty can craft higher quality [c][006eff]medicines [-][/c]and [c][006eff]medical devices.[-][/c]",,,,,,,,,,做得不错。虽然任何人都可以制作[c][006eff]绷带[-][/c]、[c][006eff]抗生素药膏[-][/c]和[c][006eff]抗毒药膏[-][/c]，但只有选择[c][006eff]医疗[-][/c]专精的人才能制作更高级的[c][006eff]药物[-][/c]和[c][006eff]医疗设备。[-][/c],,,,,,
pda_i8oiu,You completed the [c][006eff]First Aid[-][/c] portion of Basic Training and received some [c][006eff]Health Packs[-][/c].,,,,,,,,,,你完成了基础训练中的[c][006eff]急救[-][/c]部分，并收到了一些[c][006eff]医疗包[-][/c]。,,,,,,
pda_eWKmq,"[c][ff6f00]Energy Bars[-][/c] aren't the only source of [c][ff6f00]food[-][/c]. Eventually you will want to [c][ff6f00]grow [-][/c]a [c][ff6f00]garden [-][/c]and start cooking even more delicious [c][ff6f00]foods[-][/c]. [c][ff6f00]Emergency Rations[-][/c] will also be a very useful source of [c][ff6f00]food[-][/c], as they never spoil. You have been provided with a sample.",,,,,,,,,,[c][ff6f00]能量棒[-][/c]并不是[c][ff6f00]食物[-][/c]的唯一来源。最终你会想要[c][ff6f00]种植[-][/c]一个[c][ff6f00]花园[-][/c]，并开始烹饪更美味的[c][ff6f00]食物[-][/c]。[c][ff6f00]应急口粮[-][/c]也是一个非常有用的[c][ff6f00]食物[-][/c]来源，因为它们永远不会变质。你已获得一份样品。,,,,,,
pda_uiC0e,You have learned how to craft [c][ff6f00]food [-][/c]and received a sample of [c][ff6f00]Emergency Rations[-][/c].,,,,,,,,,,你已经学会了如何制作[c][ff6f00]食物[-][/c]，并收到了一份[c][ff6f00]应急口粮[-][/c]样品。,,,,,,
pda_qiqSC,Begin your [c][ffc800]engineering [-][/c]career by adding [c][ffc800]power generation[-][/c] and [c][ffc800]construction [-][/c]capabilities to a Base or Capital Vessel.,,,,,,,,,,通过为基地或主力舰添加[c][ffc800]发电[-][/c]和[c][ffc800]建造[-][/c]能力，开始你的[c][ffc800]工程[-][/c]生涯。,,,,,,
pda_SI8iW,"Now that you have your base ready to craft, begin [c][ffc800]gathering resources[-][/c] to craft your [c][ffc800]Large Constructor[-][/c].",,,,,,,,,,既然你的基地已经准备好进行制作，开始[c][ffc800]收集资源[-][/c]以制作你的[c][ffc800]大型构造器[-][/c]。,,,,,,
pda_GeGyq,Achieved Rank 2 of [c][ffc800]Engineering[-][/c].,,,,,,,,,,已达成[c][ffc800]工程[-][/c]等级2。,,,,,,
pda_WWWai,Achieved Rank 3 of [c][ffc800]Engineering[-][/c].,,,,,,,,,,已达成[c][ffc800]工程[-][/c]等级3。,,,,,,
pda_WiW04,Achieved Rank 4 of [c][ffc800]Engineering[-][/c].,,,,,,,,,,已达成[c][ffc800]工程[-][/c]等级4。,,,,,,
pda_kKQa0,Equip your Survival Tool,,,,,,,,,,装备你的生存工具,,,,,,
pda_ueu8u,Equip Survival Tool,,,,,,,,,,装备生存工具,,,,,,
pda_GC0mq,Place your Survival Tool on your Toolbar.,,,,,,,,,,将你的生存工具放在工具栏上。,,,,,,
pda_kuSCu,You're getting the hang of this. Keep it up and you'll be ready to take on the [c][ff0000]Zirax [-][/c]forces that guard the other junkyards.\n\nCongratulations! You've achieved Rank 1 of [c][04ff00]Combat[-][/c]!,,,,,,,,,,你已经掌握了诀窍。继续努力，你就能准备好对抗守护其他垃圾场的[c][ff0000]兹瑞克斯[-][/c]部队。\n\n恭喜！你已达成[c][04ff00]战斗[-][/c]等级1！,,,,,,
pda_OKWe8,Achieved Rank 1 of [c][04ff00]Combat[-][/c].,,,,,,,,,,已达成[c][04ff00]战斗[-][/c]等级1。,,,,,,
pda_iK8WW,Achieved Rank 2 of [c][04ff00]Combat[-][/c].,,,,,,,,,,已达成[c][04ff00]战斗[-][/c]等级2。,,,,,,
pda_uGCiu,Achieved Rank 3 of [c][04ff00]Combat[-][/c].,,,,,,,,,,已达成[c][04ff00]战斗[-][/c]等级3。,,,,,,
tasktitleExploration1b,Interesting Discoveries,,,,,,,,,,有趣的发现,,,,,,
pda_KbmqW,Specialty: Medical (Temperate),,,,,,,,,,专精：医疗（温带）,,,,,,
pda_KWu0e,Graviton Thrust Drive,,,,,,,,,,引力子推进驱动器,,,,,,
pda_aW8vm,Place a Graviton Thrust Drive,,,,,,,,,,放置一个引力子推进驱动器,,,,,,
pda_X70Du,Achieved Rank 1 of [c][006eff]Medical[-][/c].,,,,,,,,,,已达成[c][006eff]医疗[-][/c]等级1。,,,,,,
pda_mqeuW,Achieved Rank 2 of [c][006eff]Medical[-][/c].,,,,,,,,,,已达成[c][006eff]医疗[-][/c]等级2。,,,,,,
pda_OWGaP,Achieved Rank 3 of [c][006eff]Medical[-][/c].,,,,,,,,,,已达成[c][006eff]医疗[-][/c]等级3。,,,,,,
pda_aC204,Achieved Rank 4 of [c][006eff]Medical[-][/c].,,,,,,,,,,已达成[c][006eff]医疗[-][/c]等级4。,,,,,,
pda_0K4m0,Congratulations! You've achieved Rank 1 of [c][006eff]Medical[-][/c]!,,,,,,,,,,恭喜！你已达成[c][006eff]医疗[-][/c]等级1！,,,,,,
pda_Gquaq,Congratulations! You've achieved Rank 2 of [c][006eff]Medical[-][/c]!,,,,,,,,,,恭喜！你已达成[c][006eff]医疗[-][/c]等级2！,,,,,,
pda_iq0Wa,"Congratulations! You've achieved Rank 3 of [c][006eff]Medical[-][/c]!\n\nYou can now take the Advance Training missions in order to unlock another Specialization, or to gain an additional 500 UP!!!",,,,,,,,,,恭喜！你已达成[c][006eff]医疗[-][/c]等级3！\n\n你现在可以接受进阶训练任务以解锁另一个专精，或获得额外500UP！！！,,,,,,
pda_eGmKO,Congratulations! You've achieved Rank 4 of [c][006eff]Medical[-][/c]!,,,,,,,,,,恭喜！你已达成[c][006eff]医疗[-][/c]等级4！,,,,,,
pda_8Ouw8,Anti Radiation Injection,,,,,,,,,,抗辐射注射剂,,,,,,
pda_SmC4O,Craft 4 Anti Radiation Injections,,,,,,,,,,制作4支抗辐射注射剂,,,,,,
pda_i4GOK,Medium Health Packs,,,,,,,,,,中型医疗包,,,,,,
pda_4WOSW,Craft 25 Medium Health Packs,,,,,,,,,,制作25个中型医疗包,,,,,,
pda_cGm48,Specialty: Exploration (Temperate),,,,,,,,,,专精：探索（温带）,,,,,,
pda_aqGOS,Infiltrate a Zirax Com Station to gain access to their communications array. (You will need to be under 150 Metes from its core),,,,,,,,,,渗透一个兹瑞克斯通讯站以访问其通讯阵列。（你需要距离其核心150米以内）,,,,,,
pda_SOaqa,Congratulations! You've achieved Rank 1 of [c][ff00f7]Exploration[-][/c]!,,,,,,,,,,恭喜！你已达成[c][ff00f7]探索[-][/c]等级1！,,,,,,
pda_qSm0m,Locate the Rados Com Center,,,,,,,,,,找到拉多斯通讯中心,,,,,,
pda_0G0eS,Com Center,,,,,,,,,,通讯中心,,,,,,
pda_mwK8S,Locate the Rados Com Center,,,,,,,,,,找到拉多斯通讯中心,,,,,,
pda_SeC8S,Congratulations! You've achieved Rank 6 of [c][ff00f7]Exploration[-][/c]!,,,,,,,,,,恭喜！你已达成[c][ff00f7]探索[-][/c]等级6！,,,,,,
pda_euK40,Achieved Rank 1 of [c][ff00f7]Exploration[-][/c].,,,,,,,,,,已达成[c][ff00f7]探索[-][/c]等级1。,,,,,,
pda_0KeK1,Access the Com Center's Communications Array,,,,,,,,,,访问通讯中心的通讯阵列,,,,,,
pda_8aKm0,Access the Console,,,,,,,,,,访问控制台,,,,,,
pda_0mCAm,Access the Com Array Console in the Rados Com Center,,,,,,,,,,访问拉多斯通讯中心的控制台阵列,,,,,,
pda_SamE0,Approach the Com Array Console,,,,,,,,,,靠近控制台阵列,,,,,,
pda_mOWSS,Locate the facility's Com Array Console,,,,,,,,,,找到设施的控制台阵列,,,,,,
pda_Cq4Oa,Improved Combat Tactics,,,,,,,,,,提升战斗战术,,,,,,
pda_iK4F2,Advanced Training,,,,,,,,,,高级训练,,,,,,
pda_aimmS,Defeat Enemy Forces,,,,,,,,,,击败敌军,,,,,,
pda_m8mGS,Zirax Forces,,,,,,,,,,兹瑞克斯部队,,,,,,
pda_YmEOv,Take out a few Zirax Forces,,,,,,,,,,消灭部分兹瑞克斯部队,,,,,,
pda_m8GIu,Advanced Training Options - Combat,,,,,,,,,,高级训练选项 - 战斗,,,,,,
pda_u00aa,Advanced Food,,,,,,,,,,高级食物,,,,,,
pda_uS04a,Medical Gardening,,,,,,,,,,医用园艺,,,,,,
pda_mGKaW,"Complete Advanced Training in order to gain more Unlock Points in order to either specialize in an additional specialty, or to unlock a large amount of devices and items.",,,,,,,,,,完成高级训练以获得更多解锁点，从而专精额外专长或解锁大量设备和物品。,,,,,,
pda_GumG8,Begin your Advanced Training,,,,,,,,,,开始高级训练,,,,,,
pda_Oue4e,Open your PDA to begin.,,,,,,,,,,打开你的PDA以开始。,,,,,,
pda_qHSaO,Open PDA.,,,,,,,,,,打开PDA,,,,,,
pda_G8q4W,Plant medical crops in order to aid in gathering medical ingredients.,,,,,,,,,,种植药用作物以帮助收集药材。,,,,,,
pda_GSmOC,Plant Medical Plants,,,,,,,,,,种植药用植物,,,,,,
pda_GOaS0,Craft Emergency Rations,,,,,,,,,,制作应急口粮,,,,,,
pda_eiW8O,Craft Emergency Rations,,,,,,,,,,制作应急口粮,,,,,,
pda_Keia8,Emergency Ration.,,,,,,,,,,应急口粮,,,,,,
pda_eOuWe,Plant a Herbal Leaves Sprout,,,,,,,,,,种植草药叶片芽苗,,,,,,
pda_Wa0qW,Herbal Leaves,,,,,,,,,,草药叶片,,,,,,
pda_qeaOO,Plant Fiber Sprout,,,,,,,,,,种植纤维芽苗,,,,,,
pda_44eq0,Fiber,,,,,,,,,,纤维,,,,,,
pda_OOaGa,Plant Plant Protein or Vegetable Sprout,,,,,,,,,,种植植物蛋白或蔬菜芽苗,,,,,,
pda_a4KSO,Plant Protein or Vegetables,,,,,,,,,,植物蛋白或蔬菜,,,,,,
pda_Sq44m,Craft a Lot of Medical Supplies,,,,,,,,,,制作大量医疗用品,,,,,,
pda_SeCem,Craft 30 Bandages,,,,,,,,,,制作30个绷带,,,,,,
pda_0OOCe,Craft 10 Antibiotic Ointment,,,,,,,,,,制作10份抗生素药膏,,,,,,
pda_qiiWG,Craft 10 Anti Toxic Ointment,,,,,,,,,,制作10份抗毒药膏,,,,,,
pda_eNaaO,Craft Bandages,,,,,,,,,,制作绷带,,,,,,
pda_8w2SC,Craft Antibiotic Ointment,,,,,,,,,,制作抗生素药膏,,,,,,
pda_i0WSi,Craft Anti Toxic Ointment,,,,,,,,,,制作抗毒药膏,,,,,,
pda_SemOG,You completed the [c][04ff00]Improved Combat Tactics[-][/c] portion of the Advanced Training Options and received a [c][04ff00]Junk Rifle (T2) [-][/c]and some [c][04ff00]Ammunition[-][/c].,,,,,,,,,,你完成了[c][04ff00]改进战斗战术[-][/c]部分的高级训练选项，并获得了[c][04ff00]垃圾步枪（T2） [-][/c]和一些[c][04ff00]弹药[-][/c]。,,,,,,
pda_MeKO0,"Congratulations! You've completed the [c][04ff00]Improved Combat Tactics[-][/c] portion of the Advanced Training Options! As a reward, you have been given a better [c][04ff00]Junk Weapon [-][/c]and additional [c][04ff00]Ammunition[-][/c]!",,,,,,,,,,恭喜！你完成了[c][04ff00]改进战斗战术[-][/c]部分的高级训练选项！作为奖励，你获得了一把更好的[c][04ff00]垃圾武器 [-][/c]以及额外的[c][04ff00]弹药[-][/c]！,,,,,,
